MARKER,SD,MISSING
M14307,0.952941176,11
M14342,2.705521472,17
M14347,13.01351351,32
M14356,1.167597765,4
M14413,10.34177215,21
M14443,0.561797753,5
M14449,0.801324503,28
M14456,6.6,9
M14563,7.052631579,27
M14577,4.497142857,8
M14628,2.859649123,11
M14633,1.662162162,31
M14664,1.146067416,5
M14780,12.29411765,26
M14825,1.372881356,5
M14852,0.952941176,12
M14884,6.398843931,10
M14922,3.157303371,5
M14937,7.846153846,24
M14949,5.857142857,12
M14965,2.139072848,30
M14997,0.052631579,27
M15018,3.331360947,14
M15045,1.437869822,13
M15069,2.141242938,6
M15088,4.04516129,26
M15097,1.849162011,4
M15151,6.387755102,32
M15173,1.064102564,25
M15223,2.02994012,14
M15263,4.767741935,25
M15447,1.8,15
M15463,6.877300613,16
M15513,7.506493506,25
M15527,10.5862069,8
M15568,11.33333333,19
M15592,1.844720497,19
M15607,1.301675978,3
M15617,1.036363636,13
M15644,1.022857143,7
M15647,3.61038961,26
M15654,8.506024096,12
M15695,3.318181818,7
M15718,2.731843575,4
M15777,4.880794702,30
M15803,3.902857143,8
M15814,3.179640719,14
M15842,9.72,26
M15843,3.178571429,11
M15870,2.098265896,10
M15878,0.195266272,11
M15925,3.454545455,6
M15956,5.056179775,6
M15969,3.134078212,4
M16076,2.431952663,11
M16122,0.719512195,15
M16141,4.570621469,7
M16162,0.165644172,15
M16179,1.951807229,17
M16245,3.289017341,8
M16249,2,6
M16256,2.684210526,10
M16294,7.243243243,33
M16297,3.110429448,18
M16299,13.13636364,7
M16342,4.493333333,28
M16373,1.922155689,15
M16393,4.068965517,9
M16467,7.11627907,10
M16484,2.862068966,6
M16495,2.918918919,31
M16542,4.095238095,12
M16579,0.183673469,31
M16589,2.081395349,10
M16622,1.734177215,22
M16678,3.658227848,22
M16824,1.407407407,18
M16827,0.292517007,30
M16850,2.658823529,9
M16856,5.988505747,7
M16865,0.463687151,3
M16869,2.211428571,8
M16884,11.83018868,19
M16910,5.684210526,28
M16938,1.943181818,7
M16941,3.610778443,14
M16961,5.544378698,11
M16982,0.483870968,25
M17033,2.329411765,11
M17048,6.171974522,20
M17054,3.012738854,25
M17070,1.397727273,6
M17076,2.373333333,30
M17083,3.316384181,5
M17149,1.867052023,11
M17154,4.631578947,25
M17202,3.980645161,24
M17222,0.748571429,8
M17234,2.894117647,12
M17240,8.23255814,10
M17245,4.556886228,15
M17315,1.472727273,17
M17323,7.959537572,9
M17348,0.966101695,6
M17439,0.973333333,27
M17466,7.917197452,22
M17494,3.426229508,1
M17514,3.6,10
M17516,1.546583851,21
M17625,4.263157895,28
M17693,6.797468354,22
M17701,12.05747126,9
M17738,2.871345029,11
M17784,7.107784431,12
M17814,4.072625698,5
M17839,1.051948052,25
M17867,5.994152047,10
M17922,10.89677419,25
M17927,5.416184971,8
M17937,0.21686747,13
M18053,4.765432099,19
M18056,1.180722892,14
M18067,3.670454545,6
M18118,3.755813953,11
M18133,5.627906977,8
M18154,0.460674157,5
M18182,0.942196532,10
M18189,0.355263158,25
M18237,0.305389222,13
M18239,3.993548387,26
M18248,5.836363636,15
M18303,11.42307692,24
M18305,12.77272727,6
M18318,3.754285714,5
M18340,2.532163743,12
M18401,0.852272727,6
M18462,11.67777778,3
M18489,0.801169591,10
M18510,1.026845638,28
M18523,2.763313609,13
M18572,9.296296296,18
M18587,2.68,27
M18614,6.197740113,5
M18637,5.136645963,18
M18638,10.76136364,5
M18642,1.511111111,4
M18683,8.913580247,19
M18888,3.476190476,13
M18902,0.737142857,7
M18934,1.94047619,11
M18940,7.16,27
M18947,3,16
M18960,2.436241611,32
M18975,0.2,13
M18979,2.481481481,17
M18980,1.719101124,5
M18982,10.09459459,28
M18986,4.060240964,16
M18988,2.322033898,7
M18993,0.75862069,7
M19009,1.464285714,11
M19027,0.00621118,19
M19064,1.192090395,7
M19116,3.069364162,9
M19117,5.988505747,7
M19126,5.255813953,9
M19135,3.514619883,9
M19150,2.965517241,6
M19185,4.265822785,20
M19190,4.921348315,5
M19361,4.132075472,20
M19420,5.858823529,11
M19432,0.820512821,26
M19439,6.426666667,28
M19468,3.413793103,8
M19475,6.345679012,17
M19499,8.112582781,28
M19553,1.357541899,5
M19583,3.526315789,9
M19647,1.377358491,20
M19662,3.384615385,22
M19669,11.1375,21
M19695,4.961538462,24
M19705,0.943181818,6
M19708,4.516853933,6
M19778,9.241610738,30
M19866,1.395209581,14
M19880,1.491620112,4
M19901,0.931034483,8
M19930,2.94011976,16
M19963,2.348314607,5
M19966,6.816091954,7
M19969,1.52,30
M20020,2.263157895,10
M20024,4.341176471,12
M20174,0.033333333,2
M20182,2.656441718,18
M20213,0.292682927,16
M20269,5.011560694,10
M20397,0.188571429,7
M20412,0.988439306,8
M20442,1.469798658,30
