MARKER,SD,MISSING
7489,1.491017964,17
7618,0.966101695,7
7646,9.91011236,6
7648,6.23566879,27
7659,0.21686747,18
7665,7.295857988,15
7725,0.150837989,5
7758,1.891719745,27
7764,4.905405405,36
7777,0.948051948,30
7787,7.915662651,18
7790,0.471264368,10
7846,2.403508772,13
7863,3.409090909,8
7948,0.231707317,20
7990,11.92903226,29
8015,3.67114094,35
8060,11.9039548,7
8074,2.656441718,21
8167,1.908045977,10
8174,12.52795031,23
8239,0.460122699,21
8263,3.754285714,9
8265,1,32
8363,46.08433735,18
8373,0.333333333,31
8377,12.66666667,34
8381,5.541935484,29
8386,7.231213873,11
8427,3.777070064,27
8487,1.457831325,18
8519,5.675496689,33
8564,2.185185185,22
8571,8.19047619,16
8624,6.988826816,5
8676,7.848837209,12
8689,0.428571429,30
8697,41.26900585,13
8709,3.034285714,9
8717,1.356321839,10
8764,1.207317073,20
8835,2.291925466,23
8862,1.407407407,22
8904,2.1375,24
8953,13.42458101,5
8961,9.834285714,9
8971,3.531073446,7
8973,2,20
9018,3.759493671,26
9037,4.569060773,3
9046,5.56097561,20
9060,4.263157895,13
9098,2.00591716,15
9149,1.717647059,14
9179,3.891891892,36
9225,0.191011236,6
9295,3.074074074,22
9306,2.254658385,23
9422,8.810810811,36
9444,7.974025974,30
9482,5.670807453,23
9489,1.715083799,5
9529,5.365714286,9
9569,7.408163265,37
9601,9.426035503,15
9604,0.593023256,12
9666,3.106666667,34
9704,3.48447205,23
9740,0.421052632,32
9741,9.106508876,15
9779,11,37
9817,1.63583815,11
9825,38.58083832,17
9836,3.432098765,22
9860,6.418918919,36
9928,6.293413174,17
9935,3.797687861,11
9938,1.853503185,27
9954,5.698795181,18
9977,5.959064327,13
9993,9.235955056,6
10002,0.378531073,7
10044,45.89655172,10
10050,1.361581921,7
10052,1.993288591,35
10115,0.124183007,31
10119,1.773480663,3
10167,1.373493976,18
10176,1.064102564,28
10207,2.047619048,16
10253,2.620915033,31
10307,4.928994083,15
10332,2.105590062,23
10385,9.467532468,30
10390,0.931034483,10
10409,4.12849162,5
10430,3.649350649,30
10506,0.355263158,32
10510,0.211764706,14
10521,10.51162791,12
10524,1.280254777,27
10644,8.904761905,16
10659,0.711111111,4
10697,3.12244898,37
10718,3.494117647,14
10732,8.482758621,10
10814,2.933774834,33
10822,0.428571429,16
10891,2.202614379,31
10984,2.345454545,19
11013,4.450980392,31
11060,3.6,14
11071,4.796407186,17
11130,4.044025157,25
11169,2.825581395,12
11170,3.382165605,27
11199,4.616766467,17
11291,2.805714286,9
11333,4.975609756,20
11357,0.474285714,9
11427,3.104651163,12
11428,6.39869281,31
11465,11.52631579,32
11493,1.431372549,31
11505,9.13253012,18
11529,0.215909091,8
11580,7.12345679,22
11595,3.596273292,23
11619,7.033149171,3
11622,4.114942529,10
11681,4.220338983,7
11700,13.88607595,26
11704,3.658959538,11
11715,9.178343949,27
11723,10.75690608,3
11759,3.15483871,29
11771,1.896103896,30
11803,0.785310734,7
11856,4.796407186,17
11929,0.631578947,32
11969,0.108433735,18
11991,4.58490566,25
12045,0.053254438,15
12067,9.469798658,35
12072,2.285714286,16
12126,4.368421053,13
12128,5.181818182,8
12129,4.755555556,4
12171,12.70909091,19
12234,3.108433735,18
12272,4.717647059,14
12275,2.672316384,7
12296,1.640883978,3
12350,7.447058824,14
12433,4.703225806,29
12452,1.295857988,15
12512,0.901098901,2
12538,1.280898876,6
12548,0.313953488,12
12549,0.754385965,13
12560,14.95209581,17
12574,0.566878981,27
12578,1.844720497,23
12623,0.76,34
12647,4.787709497,5
12663,1.576470588,14
12722,11,15
12726,3.454545455,8
12758,6.432098765,22
12780,3.619354839,29
12783,4.317919075,11
12866,1.82208589,21
12903,2.229885057,10
12915,6.759036145,18
12922,6.34591195,25
12952,14.64497041,15
12957,3.706586826,17
12965,4.641618497,11
12995,3.178343949,27
13006,3.273809524,16
13010,1.927152318,33
13107,70.62732919,23
13109,3.755813953,12
13144,2.651162791,12
13178,3.949152542,7
13195,4.228070175,13
13234,0.74025974,30
13250,0.857142857,30
13258,1.24516129,29
13280,1.466666667,4
13287,3.952380952,16
13290,3.451219512,20
13299,0.592814371,17
13337,0.638709677,29
13357,8.770700637,27
13376,0.409638554,18
13401,31.63030303,19
13430,3.179640719,17
13438,4.905882353,14
13443,6.586592179,5
13499,4.893491124,15
13504,4.569060773,3
13558,40.21590909,8
13574,2.220125786,25
13580,0.702380952,16
13607,1.530612245,37
13623,0.044444444,4
13697,38.36842105,32
13722,0.529411765,31
13758,4.247058824,14
13810,3.013422819,35
13811,0.2,14
13820,11.94047619,16
13825,1.417582418,2
13891,1.049079755,21
13970,10.25748503,17
13973,0.333333333,31
13999,3.125,8
14027,0.818181818,8
14068,0.552795031,23
14139,0.292517007,37
14198,2.472527473,2
14214,11.52287582,31
14240,1.719101124,6
14280,0.87804878,20
14307,0.952941176,14
14342,2.705521472,21
14347,13.01351351,36
14356,1.167597765,5
14413,10.34177215,26
14443,0.561797753,6
14449,0.801324503,33
14456,6.6,14
14563,7.052631579,32
14577,4.497142857,9
14628,2.859649123,13
14633,1.662162162,36
14664,1.146067416,6
14780,12.29411765,31
14788,34.46938776,37
14825,1.372881356,7
14852,0.952941176,14
14884,6.398843931,11
14922,3.157303371,6
14937,7.846153846,28
14949,5.857142857,16
14965,2.139072848,33
14997,0.052631579,32
15018,3.331360947,15
15045,1.437869822,15
15069,2.141242938,7
15088,4.04516129,29
15097,1.849162011,5
15151,6.387755102,37
15172,21.27745665,11
15173,1.064102564,28
15223,2.02994012,17
15263,4.767741935,29
15447,1.8,19
15463,6.877300613,21
15513,7.506493506,30
15527,10.5862069,10
15568,11.33333333,22
15592,1.844720497,23
15607,1.301675978,5
15617,1.036363636,19
15644,1.022857143,9
15647,3.61038961,30
15654,8.506024096,18
15695,3.318181818,8
15718,2.731843575,5
15777,4.880794702,33
15803,3.902857143,9
15814,3.179640719,17
15842,9.72,34
15843,3.178571429,16
15870,2.098265896,11
15878,0.195266272,15
15925,3.454545455,8
15932,42.12280702,13
15956,5.056179775,6
15969,3.134078212,5
16076,2.431952663,15
16122,0.719512195,20
16133,40.30909091,19
16141,4.570621469,7
16162,0.165644172,21
16179,1.951807229,18
16245,3.289017341,11
16249,2,8
16256,2.684210526,13
16294,7.243243243,36
16297,3.110429448,21
16299,13.13636364,8
16342,4.493333333,34
16373,1.922155689,17
16393,4.068965517,10
16467,7.11627907,12
16484,2.862068966,10
16495,2.918918919,36
16542,4.095238095,16
16579,0.183673469,37
16589,2.081395349,12
16622,1.734177215,26
16657,37.01351351,36
16678,3.658227848,26
16807,47.11173184,5
16824,1.407407407,22
16827,0.292517007,37
16850,2.658823529,14
16856,5.988505747,10
16865,0.463687151,5
16869,2.211428571,9
16884,11.83018868,25
16910,5.684210526,32
16938,1.943181818,8
16941,3.610778443,17
16961,5.544378698,15
16982,0.483870968,29
17033,2.329411765,14
17046,42.84,9
17048,6.171974522,27
17054,3.012738854,27
17070,1.397727273,8
17076,2.373333333,34
17083,3.316384181,7
17149,1.867052023,11
17154,4.631578947,32
17202,3.980645161,29
17222,0.748571429,9
17234,2.894117647,14
17240,8.23255814,12
17245,4.556886228,17
17315,1.472727273,19
17323,7.959537572,11
17348,0.966101695,7
17439,0.973333333,34
17466,7.917197452,27
17494,3.426229508,1
17514,3.6,14
17516,1.546583851,23
17625,4.263157895,32
17693,6.797468354,26
17701,12.05747126,10
17738,2.871345029,13
17784,7.107784431,17
17814,4.072625698,5
17839,1.051948052,30
17867,5.994152047,13
17922,10.89677419,29
17927,5.416184971,11
17937,0.21686747,18
18053,4.765432099,22
18056,1.180722892,18
18067,3.670454545,8
18118,3.755813953,12
18133,5.627906977,12
18154,0.460674157,6
18182,0.942196532,11
18189,0.355263158,32
18237,0.305389222,17
18239,3.993548387,29
18248,5.836363636,19
18303,11.42307692,28
18305,12.77272727,8
18318,3.754285714,9
18340,2.532163743,13
18401,0.852272727,8
18462,11.67777778,4
18489,0.801169591,13
18510,1.026845638,35
18523,2.763313609,15
18572,9.296296296,22
18587,2.68,34
18614,6.197740113,7
18637,5.136645963,23
18638,10.76136364,8
18642,1.511111111,4
18683,8.913580247,22
18888,3.476190476,16
18902,0.737142857,9
18934,1.94047619,16
18940,7.16,34
18947,3,18
18960,2.436241611,35
18975,0.2,19
18979,2.481481481,22
18980,1.719101124,6
18982,10.09459459,36
18986,4.060240964,18
18988,2.322033898,7
18993,0.75862069,10
19009,1.464285714,16
19027,0.00621118,23
19064,1.192090395,7
19116,3.069364162,11
19117,5.988505747,10
19126,5.255813953,12
19135,3.514619883,13
19150,2.965517241,10
19185,4.265822785,26
19190,4.921348315,6
19361,4.132075472,25
19420,5.858823529,14
19432,0.820512821,28
19439,6.426666667,34
19468,3.413793103,10
19475,6.345679012,22
19499,8.112582781,33
19553,1.357541899,5
19583,3.526315789,13
19647,1.377358491,25
19662,3.384615385,28
19669,11.1375,24
19695,4.961538462,28
19705,0.943181818,8
19708,4.516853933,6
19777,16.50857143,9
19778,9.241610738,35
19866,1.395209581,17
19880,1.491620112,5
19901,0.931034483,10
19930,2.94011976,17
19963,2.348314607,6
19966,6.816091954,10
19969,1.52,34
20020,2.263157895,13
20024,4.341176471,14
20065,17.31034483,10
20174,0.033333333,4
20182,2.656441718,21
20213,0.292682927,20
20269,5.011560694,11
20337,17.10778443,17
20339,17.2585034,37
20397,0.188571429,9
20412,0.988439306,11
20442,1.469798658,35
20443,3.582857143,9
20455,6.418181818,19
20535,6.563636364,19
20555,1.598870056,7
20566,9.730337079,6
20628,7.812121212,19
20713,0.65060241,18
20785,1.218181818,19
20842,1.6375,24
20914,2.481481481,22
20963,0.463687151,5
20991,0.76,34
20998,0.182320442,3
21008,36.72670807,23
21020,4.3375,24
21075,2.756756757,36
21079,5.152941176,14
21126,4.905882353,14
21127,6.73255814,12
21209,2.615384615,28
21320,4.120481928,18
21364,9.84,34
21398,5.302325581,12
21445,11,37
21464,0.165644172,21
21485,5.013422819,35
21560,4.868852459,1
21584,2.847058824,14
21661,6.398843931,11
21663,3.197674419,12
21672,3.477419355,29
21689,2.986928105,31
21699,2.786666667,34
21705,1.951807229,18
21718,5.033898305,7
21810,5.7,24
21812,7.836158192,7
21828,6.26744186,12
21844,0.45,24
21880,3.582857143,9
21905,4.829268293,20
21984,2.622641509,25
21990,3.853333333,34
22010,1.525714286,9
22014,0.461538462,28
22026,2.81595092,21
22078,5.165680473,15
22157,5.24,34
22244,1.93081761,25
22287,4.2375,24
22371,3.140350877,13
22382,2.374233129,21
22453,4.53164557,26
22466,2.422818792,35
22484,3.023121387,11
22551,3.96,34
22567,3.413793103,10
22570,0.094972067,5
22733,4.897142857,9
22841,9.036809816,21
22905,1.404624277,11
22931,1.625698324,5
22964,5.092105263,32
22965,5.407643312,27
23003,0.105882353,14
23026,4.691275168,35
23029,5.145251397,5
23061,0.767955801,3
23086,2.761363636,8
23134,0.85620915,31
23190,2.209580838,17
23227,3.290697674,12
23261,5.622516556,33
23295,0.417721519,26
23315,0.034883721,12
23366,2.852272727,8
23408,11.83018868,25
23455,2.593220339,7
23515,6.642384106,33
23533,1.768211921,33
23535,0.72,34
23537,4.413173653,17
23551,4.063291139,26
23570,8.597765363,5
23673,6.925925926,22
23748,1.219653179,11
23846,4.040462428,11
23848,1.472727273,19
23855,3.395348837,12
23870,8.153374233,21
23878,1.237288136,7
23881,6.898876404,6
23916,0.364864865,36
23961,0.754385965,13
24034,0.20754717,25
24036,3.037037037,22
24052,6.294797688,11
24141,6.633136095,15
24161,1.684563758,35
24178,7.277456647,11
24232,6,32
24267,17.17073171,20
24410,10.96363636,19
24499,5.850828729,3
24513,4.777777778,13
24525,0.814814815,22
24645,2.097560976,20
24697,39.53254438,15
24800,6.723756906,3
24818,2.964912281,13
24840,1.451612903,29
24851,1.132450331,33
24869,8.367231638,7
24909,3.012269939,21
24940,0.814814815,22
24947,3,8
25107,9.448275862,10
25109,1.163265306,37
25143,4.672727273,19
25250,2.030674847,21
25254,3,13
25308,1.022988506,10
25342,5.337209302,12
25431,1.8,24
25438,1.304878049,20
25444,6.25,32
25446,3.413793103,10
25481,2.766871166,21
25539,1.75739645,15
25542,4.206703911,5
25623,1.616352201,25
25645,1.32748538,13
25747,2.348314607,6
25799,1.632911392,26
25814,2.95480226,7
25877,16.63291139,26
25921,1.467836257,13
25941,0.482352941,14
25950,3.214689266,7
25977,11.56140351,13
26011,5.188235294,14
26016,5.103896104,30
26054,4.454545455,8
26076,2.179775281,6
26106,2,6
26133,2.224719101,6
26139,3.857142857,16
26180,10.125,8
26194,3.074074074,22
26237,4.714285714,16
26244,0.125827815,33
26262,4.954285714,9
26291,6.152542373,7
26344,2.506329114,26
26402,1.122905028,5
26466,1.384615385,28
26487,1.701986755,33
26490,5.666666667,13
26501,2.915662651,18
26504,1.13559322,7
26544,2.923076923,28
26640,6.847953216,13
26803,11.53846154,28
26815,3.74556213,15
26884,0.655555556,4
26901,4.117318436,5
26907,8.716049383,22
26980,45.88484848,19
27007,5.068965517,10
27024,1.942528736,10
27087,0,16
27092,7.367816092,10
27118,0.748571429,9
27160,42.18823529,14
27175,46.87570621,7
27216,3.598802395,17
27245,7.285714286,16
27338,9.178571429,16
27365,12.53142857,9
27410,1.423529412,14
27413,42.15789474,13
27435,3.981818182,19
27441,1.443037975,26
27453,5.523255814,12
27506,1.036363636,19
27519,0.428571429,30
27590,5.299319728,37
27594,1.248447205,23
27607,5.745762712,7
27611,0.686046512,12
27781,4.885057471,10
27787,0.622641509,25
27820,5.846153846,28
27834,0.150837989,5
27888,4.721212121,19
27920,11.62025316,26
27950,2,18
27957,0.701298701,30
27976,4.949685535,25
27990,3.6,14
27994,1.539325843,6
28000,2.355932203,7
28024,0.271604938,22
28073,1.659217877,5
28130,11.39306358,11
28182,46.00584795,13
28183,8.941520468,13
28227,1.611764706,14
28243,8.011764706,14
28259,1.72972973,36
28299,38.35849057,25
28315,9.981595092,21
28319,4.30994152,13
28323,8.976047904,17
28387,1.310344828,10
28459,3.6,4
28463,3.797687861,11
28473,2.187096774,29
28485,1.736842105,32
28596,3.931677019,23
28614,4.581081081,36
28656,0.382550336,35
28688,43.98224852,15
28738,0.546961326,3
28790,0.710982659,11
28801,1.658536585,20
28951,2.25,32
28953,1.31372549,31
28965,11.36464088,3
29027,0.933701657,3
29031,0.836734694,37
29072,1.644067797,7
29120,0.496932515,21
29123,9.509090909,19
29191,11.6746988,18
29195,10.55172414,10
29286,0.635294118,14
29321,0.622641509,25
29346,0.418604651,12
29349,2.341935484,29
29367,10.42331288,21
29424,5.023255814,12
29490,5.306818182,8
29558,4.5,12
29569,5.670454545,8
29582,10.0375,24
29602,1.736842105,13
29642,3.450331126,33
29650,6.952095808,17
29665,4.914110429,21
29723,4.37414966,37
29750,1.937142857,9
29776,3.891891892,36
29833,3.069767442,12
29884,3.528301887,25
29891,4.555555556,13
29893,4.975609756,20
29935,1.285714286,16
29942,0.611428571,9
29975,10.46938776,37
29986,14.72571429,9
29994,1.259259259,22
30009,2.310810811,36
30022,0.409090909,8
30039,1.251428571,9
30057,8.112359551,6
30077,1.402684564,35
30087,4.517241379,10
30105,1.488372093,12
30138,5.302325581,12
30182,15.83529412,14
30227,5.243243243,36
30246,0.86440678,7
30255,2.325581395,12
30262,2.181818182,8
30290,4.153846154,28
30291,8.526627219,15
30292,8.502762431,3
30363,37.30674847,21
30371,4.082802548,27
30469,3.110497238,3
30472,2.467455621,15
30490,0.447513812,3
30552,6.5,28
30558,3.357541899,5
30656,0.312883436,21
30660,8.748571429,9
30669,0.329268293,20
30688,11.30232558,12
30737,4.517241379,10
30791,2.298701299,30
30872,4.921348315,6
30905,15.62962963,22
30914,1.324675325,30
30940,1.491017964,17
30960,9.925714286,9
30973,4.72,34
30995,0.215189873,26
31010,1.74829932,37
31012,4.254237288,7
31037,3.982857143,9
31238,17.11494253,10
31268,2.812080537,35
31271,2.652694611,17
31280,2.758389262,35
31340,5.74556213,15
31359,4.093023256,12
31397,1.561403509,13
31488,3.348993289,35
31505,4.817142857,9
31516,3,13
31546,1.469798658,35
31565,4.409395973,35
31633,7.464285714,16
31646,2.101265823,26
31693,3.855555556,4
31718,1.773006135,21
31723,5.944785276,21
31732,3.473372781,15
31761,5.430232558,12
31771,12.57062147,7
31886,6.408805031,25
31950,7.333333333,22
31998,9.503225806,29
32012,4.1375,24
32028,1.884615385,28
32042,1.609756098,20
32068,2.963414634,20
32118,1.208092486,11
32146,11.02285714,9
32158,2.615384615,28
32168,0.636363636,30
32254,4.34939759,18
32284,3.013422819,35
32321,6.987730061,21
32351,3.706666667,34
32369,1.534883721,12
32423,10,4
32452,2.348314607,6
32553,0.477124183,31
32554,3.099447514,3
32585,3.816326531,37
32615,4.401273885,27
32623,0.1375,24
32634,3.22754491,17
32661,3.617142857,9
32676,3.318181818,8
32685,1.407407407,22
32723,1.943181818,8
32868,3.845238095,16
32904,3.318181818,8
32970,1.282208589,21
32980,3.256097561,20
32984,8.761363636,8
33013,41.14285714,16
33067,7.958083832,17
33074,0.647058824,31
33106,1.662857143,9
33116,2.80952381,16
33136,41.85882353,14
33142,1.116883117,30
33218,18.08536585,20
33241,1.341176471,14
33253,1.488636364,8
33254,1.8,24
33328,2.254658385,23
33352,44.50561798,6
33353,1.348993289,35
33377,0.817073171,20
33445,1.9,4
33507,12.34117647,14
33519,4.796407186,17
33548,3,32
33565,3.039735099,33
33590,1.951807229,18
33606,3.194805195,30
33633,3.420382166,27
33686,5.416184971,11
33696,2.054054054,36
33742,0.321428571,16
33824,1.553672316,7
33853,0.797297297,36
33857,5.761363636,8
33864,4.829268293,20
33891,0.648484848,19
33951,4.114942529,10
34004,1.993288591,35
34014,2.017142857,9
34075,7.421768707,37
34114,0.620689655,10
34175,4.315789474,32
34181,2.528089888,6
34203,2.397435897,28
34208,3.140350877,13
34235,0.670588235,14
34279,2.00621118,23
34333,3.909090909,8
34343,0.790697674,12
34356,9.469879518,18
34363,7.80952381,16
34367,6.034090909,8
34378,3.217948718,28
34424,6.446540881,25
34432,1.051948052,30
34453,0.280898876,6
34455,1.337837838,36
34477,8.122222222,4
34534,3.268292683,20
34557,11.78980892,27
34599,3,21
34607,0.515923567,27
34610,6.174418605,12
34636,2.889502762,3
34638,3.707317073,20
34659,15.91764706,14
34673,4.211428571,9
34701,2.543624161,35
34726,0.188571429,9
34733,0.34502924,13
34829,2.2,19
34884,0.165644172,21
35034,4.5,12
35041,2.094117647,14
35059,5.84,34
35063,4.829268293,20
35076,0.112582781,33
35142,41.19428571,9
35150,6.680981595,21
35239,17.58100559,5
35254,8.797619048,16
35269,1.259259259,22
35345,4.197278912,37
35408,39.78106509,15
35412,2.777777778,13
35419,3.069364162,11
35429,2.079754601,21
35437,6.01734104,11
35500,1.047337278,15
35560,3.943181818,8
35589,2.094117647,14
35605,2.943820225,6
35634,0.670588235,14
35643,1.937142857,9
35653,5.764044944,6
35654,1.894736842,32
35714,12.07058824,14
35716,9.682080925,11
35726,7.011299435,7
35744,1.089171975,27
35812,0.256756757,36
35848,41.72189349,15
35931,7.772727273,8
35962,42.22727273,8
35981,3.666666667,22
35996,4.607142857,16
36006,1.566037736,25
36026,3.045454545,8
36036,0.363057325,27
36050,21.6744186,12
36116,0.509433962,25
36122,4.885057471,10
36173,2.670731707,20
36210,0.272727273,8
36219,3.980645161,29
36232,2.183431953,15
36258,10.03448276,10
36266,14.45098039,31
36284,1.482758621,10
36299,7.183908046,10
36313,5.896551724,10
36328,5.537142857,9
36411,3.544217687,37
36419,0.437908497,31
36440,16.27272727,8
36459,0.457627119,7
36463,11.36585366,20
36469,2.157894737,32
36491,0.884393064,11
36546,39.86549708,13
36563,1.82208589,21
36603,4.755555556,4
36608,0.823129252,37
36638,6.550295858,15
36640,0.842424242,19
36660,19.07865169,6
36712,3.513157895,32
36727,0.279069767,12
36729,4.265306122,37
36778,2.955307263,5
36782,14.59090909,8
36783,3.295081967,1
36787,6.479768786,11
36878,22.74842767,25
36882,3.706666667,34
36906,3.197368421,32
36917,7.314465409,25
36925,7.308724832,35
36991,10.97687861,11
36993,7.203592814,17
37010,2.141242938,7
37011,4.558139535,12
37012,0.905405405,36
37056,3.573248408,27
37079,42.0931677,23
37104,2.197530864,22
37121,2.119496855,25
37179,2.397435897,28
37184,2.220338983,7
37202,3.409090909,8
37211,1.490797546,21
37256,3.887573964,15
37257,1.078212291,5
37276,0.112426036,15
37348,0,32
37368,2.703296703,2
37391,0.803278689,1
37522,0.105882353,14
37584,2.431952663,15
37747,0.766081871,13
37751,23.08092486,11
37808,4.34939759,18
37835,3.706666667,34
37837,1.25,24
37842,3.880503145,25
37857,0.264516129,29
37873,0.905325444,15
37934,6.642384106,33
37953,17.07185629,17
37978,3.797752809,6
38005,1.916129032,29
38050,5.90797546,21
38059,1.502923977,13
38062,0.803680982,21
38081,5.908045977,10
38085,5.6375,24
38130,10.76829268,20
38147,0.482352941,14
38252,2.060402685,35
38263,0.432432432,36
38288,3.765100671,35
38307,7.210526316,32
38316,9.714285714,16
38333,1.862068966,10
38457,0.141025641,28
38491,0.052023121,11
38537,3.931677019,23
38557,2.226190476,16
38572,40.74698795,18
38590,3.730769231,28
38604,15.01282051,28
38713,4.779069767,12
38740,9.3375,24
38769,2.13253012,18
38775,1.523489933,35
38793,11.05063291,26
38799,16.42696629,6
38821,1.986486486,36
38822,5.696202532,26
38826,8.578947368,13
38845,3.624277457,11
38872,0.620689655,10
38875,9.370786517,6
38876,0.763975155,23
38911,40.32911392,26
38913,11.72368421,32
38919,1.051948052,30
38978,3.335260116,11
38996,1.113207547,25
38998,4.717647059,14
39018,6.627329193,23
39105,0.318435754,5
39125,2.220125786,25
39154,10.49438202,6
39219,1.023952096,17
39236,2.174418605,12
39302,4.456647399,11
39325,0.952941176,14
39339,3.104651163,12
39347,3.573248408,27
39401,1.265895954,11
39460,4.19047619,16
39484,8.098265896,11
39548,1.390804598,10
39575,0.835443038,26
39689,6.793939394,19
39698,7.067567568,36
39707,2,18
39740,4.376623377,30
39771,0.068322981,23
39777,7.559006211,23
39789,4.961783439,27
39812,5.012121212,19
39849,3.625698324,5
39924,2.825581395,12
40014,0.923076923,28
40016,1.302631579,32
40054,0.763975155,23
40063,0.977142857,9
40097,4.796610169,7
40114,2.453488372,12
40120,1.688888889,4
40148,11.52631579,13
40173,2.602649007,33
40205,5.815286624,27
40222,39.3483871,29
40240,0.103448276,10
40259,1.574712644,10
40296,5.666666667,31
40399,1.397727273,8
40424,1.609756098,20
40427,1.324675325,30
40482,1.579881657,15
40497,0.473684211,13
40547,4.677852349,35
40606,4,8
40610,2.506329114,26
40649,0.607142857,16
40653,4.081761006,25
40655,2.987654321,22
40662,45.76571429,9
40663,1.272108844,37
40697,0.409638554,18
40771,2.725490196,31
40778,1.945454545,19
40821,0.226190476,16
40912,3.883435583,21
40934,0,20
40939,2.597701149,10
40945,3.706666667,34
40961,8.817073171,20
41004,7.552941176,14
41022,1.390804598,10
41086,3.283783784,36
41168,9.380368098,21
41201,1.736842105,32
