MARKER1,MARKER2,SD,MISSING,APER,BPER,ABPER
286,9740,0.421052632,32,23.7,23.7,52.6
287,9741,9.106508876,15,18.3,20.1,61.5
288,9779,11,37,23.8,14.3,61.9
289,9817,1.63583815,11,26.0,20.8,53.2
290,9825,38.58083832,17,32.3,4.2,63.5
291,9836,3.432098765,22,19.8,23.5,56.8
292,9860,6.418918919,36,21.6,18.2,60.1
293,9928,6.293413174,17,16.8,29.3,53.9
294,9935,3.797687861,11,22.5,20.2,57.2
295,9938,1.853503185,27,20.4,27.4,52.2
296,9954,5.698795181,18,17.5,30.1,52.4
297,9977,5.959064327,13,17.0,26.9,56.1
298,9993,9.235955056,6,16.9,22.5,60.7
299,10002,0.378531073,7,24.9,23.2,52.0
300,10044,45.89655172,10,34.5,2.9,62.6
301,10050,1.361581921,7,21.5,24.9,53.7
302,10052,1.993288591,35,21.5,22.8,55.7
303,10115,0.124183007,31,26.1,24.2,49.7
304,10119,1.773480663,3,23.8,21.5,54.7
305,10167,1.373493976,18,24.1,21.7,54.2
306,10176,1.064102564,28,27.6,21.8,50.6
307,10207,2.047619048,16,26.2,20.2,53.6
308,10253,2.620915033,31,30.1,20.9,49.0
309,10307,4.928994083,15,26.0,17.8,56.2
310,10332,2.105590062,23,29.2,21.1,49.7
311,10385,9.467532468,30,14.3,29.2,56.5
312,10390,0.931034483,10,24.1,28.2,47.7
313,10409,4.12849162,5,26.8,18.4,54.7
314,10430,3.649350649,30,24.7,18.8,56.5
315,10506,0.355263158,32,23.0,25.0,52.0
316,10510,0.211764706,14,23.5,25.9,50.6
317,10521,10.51162791,12,24.4,15.1,60.5
318,10524,1.280254777,27,21.7,28.0,50.3
319,10644,8.904761905,16,22.6,16.7,60.7
320,10659,0.711111111,4,27.2,22.8,50.0
321,10697,3.12244898,37,20.4,30.6,49.0
322,10718,3.494117647,14,20.6,22.4,57.1
323,10732,8.482758621,10,20.7,18.4,60.9
324,10814,2.933774834,33,21.2,21.9,57.0
325,10822,0.428571429,16,24.4,23.2,52.4
326,10891,2.202614379,31,22.2,30.1,47.7
327,10984,2.345454545,19,20.0,27.9,52.1
328,11013,4.450980392,31,17.6,26.8,55.6
329,11060,3.6,14,25.9,18.8,55.3
330,11071,4.796407186,17,19.2,31.1,49.7
331,11130,4.044025157,25,22.0,20.1,57.9
332,11169,2.825581395,12,19.8,25.0,55.2
333,11170,3.382165605,27,31.2,24.2,44.6
334,11199,4.616766467,17,20.4,31.7,47.9
335,11291,2.805714286,9,23.4,20.6,56.0
336,11333,4.975609756,20,19.5,22.0,58.5
337,11357,0.474285714,9,23.4,24.0,52.6
338,11427,3.104651163,12,23.3,20.3,56.4
339,11428,6.39869281,31,19.0,20.9,60.1
340,11465,11.52631579,32,13.2,27.6,59.2
341,11493,1.431372549,31,25.5,20.9,53.6
342,11505,9.13253012,18,17.5,21.1,61.4
343,11529,0.215909091,8,26.1,25.6,48.3
344,11580,7.12345679,22,16.0,26.5,57.4
345,11595,3.596273292,23,19.9,23.0,57.1
346,11619,7.033149171,3,16.6,26.5,56.9
347,11622,4.114942529,10,26.4,18.4,55.2
348,11681,4.220338983,7,22.0,20.3,57.6
349,11700,13.88607595,26,34.8,13.9,51.3
350,11704,3.658959538,11,20.8,22.0,57.2
351,11715,9.178343949,27,29.9,14.6,55.4
352,11723,10.75690608,3,21.0,17.1,61.9
353,11759,3.15483871,29,19.4,24.5,56.1
354,11771,1.896103896,30,29.2,21.4,49.4
355,11803,0.785310734,7,22.6,24.3,53.1
356,11856,4.796407186,17,19.2,31.1,49.7
357,11929,0.631578947,32,22.4,25.0,52.6
358,11969,0.108433735,18,24.7,24.1,51.2
359,11991,4.58490566,25,20.8,20.8,58.5
360,12045,0.053254438,15,25.4,24.3,50.3
361,12067,9.469798658,35,14.1,28.2,57.7
362,12072,2.285714286,16,20.2,25.0,54.8
363,12126,4.368421053,13,28.1,18.1,53.8
364,12128,5.181818182,8,17.6,26.7,55.7
365,12129,4.755555556,4,22.8,19.4,57.8
366,12171,12.70909091,19,20.0,16.4,63.6
367,12234,3.108433735,18,22.9,20.5,56.6
368,12272,4.717647059,14,21.8,20.0,58.2
369,12275,2.672316384,7,20.9,23.2,55.9
370,12296,1.640883978,3,21.0,25.4,53.6
371,12350,7.447058824,14,17.1,31.8,51.2
372,12433,4.703225806,29,18.1,24.5,57.4
373,12452,1.295857988,15,25.4,21.3,53.3
374,12512,0.901098901,2,26.4,22.0,51.6
375,12538,1.280898876,6,24.2,21.9,53.9
376,12548,0.313953488,12,26.2,23.3,50.6
377,12549,0.754385965,13,27.5,22.8,49.7
378,12560,14.95209581,17,14.4,21.6,64.1
379,12574,0.566878981,27,24.2,22.9,52.9
380,12578,1.844720497,23,23.0,21.7,55.3
381,12623,0.76,34,25.3,22.0,52.7
382,12647,4.787709497,5,23.5,19.0,57.5
383,12663,1.576470588,14,24.7,21.2,54.1
384,12722,11,15,23.1,15.4,61.5
385,12726,3.454545455,8,20.5,22.7,56.8
